,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
242,"Pepto Bismol, 5 Symptom Digestive Relief, Original, 4 fl oz",196169183097.0,Other,-,1.0,8.45,8.45,$0.00,$0.00,$0.00,$1.34,$0.00,$0.00,$1.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.11,8.45,0,0,0
243,"Gillette Mach3 Men's Razor Blades, 15 Blade Refills",196169190938.0,Other,-,1.0,61.61,56.33,$0.00,$5.28,$0.00,$12.28,$0.00,$0.00,$7.91,$4.37,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,44.05,61.61,1,0,0
244,"SHARPIE Brush Twin Permanent Markers, Assorted, 12 Count",196169213300.0,Other,-,1.0,22.3,20.32,$0.00,$1.98,$0.00,$4.63,$0.00,$0.00,$3.05,$1.58,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.69,22.3,1,0,0
245,Head and Shoulders Classic Clean Anti-Dandruff Shampoo 8.45 Fl Oz,196169221123.0,Other,-,1.0,18.84,17.69,$0.00,$1.15,$0.00,$3.97,$0.00,$0.00,$2.63,$1.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13.72,18.84,1,0,0
246,"Swiffer Dusters Heavy Duty Extender Handle Starter Kit (1 Handle, 12 Dusters)",196169226000.0,Other,-,1.0,25.86,24.39,$0.00,$1.47,$0.00,$8.14,$0.00,$0.00,$3.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.55,16.25,25.86,0,0,0
247,"True+Real Therapeutic Tar Gel Anti-Dandruff Shampoo 1% Coal Tar, 6 Ounce",196169226593.0,Other,-,1.0,13.28,12.13,$0.00,$1.15,$0.00,$1.94,$0.00,$0.00,$1.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.19,13.28,0,0,0
248,Spare Parts for Ring Video Doorbell 2,196169237004.0,Other,-,1.0,12.08,12.08,$0.00,$0.00,$0.00,$2.65,$0.00,$0.00,$1.79,$0.86,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9.43,12.08,1,0,0
249,"Prince of Peace 100% Organic Tea, Value Family Size, 200 Bags (Oolong Tea)",196169238262.0,Other,-,1.0,23.71,23.71,$0.00,$0.00,$0.00,$4.91,$0.00,$0.00,$3.23,$1.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.8,23.71,1,0,0
250,"BrawnyÂ® Tear-A-SquareÂ® Paper Towels, 6 Double Rolls = 12 Regular Rolls",196169240209.0,Other,-,1.0,21.61,20.32,$0.00,$1.29,$0.00,$4.50,$0.00,$0.00,$2.97,$1.53,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.82,21.61,1,0,0
251,"Brawny Pick-A-Size Paper Towels, 6 Double Rolls",196169240630.0,Other,-,1.0,26.75,25.24,$0.00,$1.51,$0.00,$6.11,$0.00,$0.00,$3.70,$2.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19.13,26.75,1,0,0
252,Item ID 196169241294,196169241294.0,Other,-,1.0,53.1,53.1,$0.00,$0.00,$0.00,$6.86,$0.00,$0.00,$6.86,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,46.24,53.1,0,0,0
253,"Pepperidge Farm Goldfish, Cheddar, 58-ounce box",196169242495.0,Other,-,1.0,31.42,31.42,$0.00,$0.00,$0.00,$4.18,$0.00,$0.00,$4.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.24,31.42,0,0,0
254,"Honey-Can-Do Foldable Tabletop Ironing Board with Iron Rest, Blue Stripe",196169244683.0,Other,-,1.0,31.25,28.87,$0.00,$2.38,$0.00,$16.31,$0.00,$0.00,$4.26,$2.81,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$9.24,12.56,31.25,1,0,0
255,"Tetley Premium Loose Leaf Tea, 31.75 Ounce",196169248366.0,Other,-,1.0,27.13,25.41,$0.00,$1.72,$0.00,$3.65,$0.00,$0.00,$3.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.76,27.13,0,0,0
256,Argo Baking Powder-12 OZ,196169911234.0,Other,-,1.0,7.98,7.48,$0.00,$0.50,$0.00,$1.78,$0.00,$0.00,$1.29,$0.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5.7,7.98,1,0,0
257,Molino Antimo Caputo Napoli '00' Flour + Semola Flour,196169912322.0,Other,-,1.0,29.14,29.14,$0.00,$0.00,$0.00,$5.68,$0.00,$0.00,$3.90,$1.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23.46,29.14,1,0,0
258,"Cento Anna Napoletana Tipo ""00"" Extra Fine Unbleached Flour, 11 Pound",196169913097.0,Other,-,1.0,74.45,74.45,$0.00,$0.00,$0.00,$16.29,$0.00,$0.00,$9.59,$6.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,58.16,74.45,1,0,0
259,"Duncan Hines Classic Cake Mix, White, 15.25 oz",196171143759.0,Other,-,1.0,9.23,9.23,$0.00,$0.00,$0.00,$2.22,$0.00,$0.00,$1.44,$0.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.01,9.23,1,0,0
260,"Betty Crocker Delights Super Moist Butter Pecan Cake Mix, 15.25 oz.",196171144654.0,Other,-,1.0,6.03,6.03,$0.00,$0.00,$0.00,$1.04,$0.00,$0.00,$1.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4.99,6.03,0,0,0
261,"Duncan Hines Perfectly Moist Devil's Food Cake Mix, 15.25 oz",196171145218.0,Other,-,1.0,4.7,4.7,$0.00,$0.00,$0.00,$1.28,$0.00,$0.00,$0.88,$0.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3.42,4.7,1,0,0
262,6 oz Freetles - Freeze Dried Candy,196171177228.0,Other,-,1.0,18.82,18.63,$0.00,$0.19,$0.00,$4.22,$0.00,$0.00,$2.62,$1.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.41,18.82,1,0,0
263,"Betty Crocker REESE'S Peanut Butter Premium Brownie Mix, 16 oz.",196171187441.0,Other,-,1.0,9.54,9.54,$0.00,$0.00,$0.00,$2.29,$0.00,$0.00,$1.48,$0.81,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.25,9.54,1,0,0
264,"Little Debbie Cosmic Brownies, 6 Individually Wrapped Brownies, 13.1 OZ Box",196171187790.0,Other,-,1.0,9.15,8.8,$0.00,$0.35,$0.00,$2.21,$0.00,$0.00,$1.43,$0.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6.59,9.15,1,0,0
265,"Fiber One 70 Calorie Brownies, Chocolate Fudge, Snack Bars, 18 ct",196171188223.0,Other,-,1.0,17.83,17.83,$0.00,$0.00,$0.00,$4.02,$0.00,$0.00,$2.50,$1.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,13.81,17.83,1,0,0
266,"Davidson's Organics, Assam Banaspaty, Loose Leaf Tea, 16-Ounce Bag",196171229850.0,Other,-,1.0,29.32,29.32,$0.00,$0.00,$0.00,$6.41,$0.00,$0.00,$3.92,$2.49,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22.91,29.32,1,0,0
267,TetraMin Nutritionally Balanced Tropical Flake Food for Tropical Fish,196171259420.0,Other,-,1.0,10.5,9.77,$0.00,$0.73,$0.00,$2.49,$0.00,$0.00,$1.60,$0.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.28,10.5,1,0,0
268,"NISHIKI Premium Brown Rice, 5-Pound",196171261143.0,Other,-,1.0,20.08,18.5,$0.00,$1.58,$0.00,$2.78,$0.00,$0.00,$2.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.72,20.08,0,1,0
269,"16 oz. Fridge - N - Freezer Baking Soda Odor Absorber, Set of 2",196171267277.0,Other,-,1.0,15.17,14.18,$0.00,$0.99,$0.00,$3.46,$0.00,$0.00,$2.17,$1.29,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.72,15.17,1,0,0
270,"Weber Garlic Parmesan Seasoning, 4.3 Ounce Shaker",196171270267.0,Other,-,1.0,10.43,10.43,$0.00,$0.00,$0.00,$2.53,$0.00,$0.00,$1.59,$0.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.9,10.43,1,0,0
271,"Hain Pure Foods Iodized Sea Salt, 21 Oz",196171271572.0,Other,-,1.0,9.4,9.4,$0.00,$0.00,$0.00,$2.26,$0.00,$0.00,$1.46,$0.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.14,9.4,1,0,0
272,"Walker's Shortbread Highlanders, Pure Butter Shortbread Cookies, 4.7 Oz Box",196171274665.0,Other,-,1.0,9.66,9.66,$0.00,$0.00,$0.00,$2.31,$0.00,$0.00,$1.49,$0.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.35,9.66,1,0,0
273,"Jif Natural Peanut Butter Spread with Honey, 16 oz, 80% Peanuts",196171283729.0,Other,-,1.0,8.72,7.96,$0.00,$0.76,$0.00,$2.12,$0.00,$0.00,$1.38,$0.74,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5.84,8.72,1,0,0
274,"Lance Captain's Wafers, Cream Cheese and Chives (40 pk.)",196171285230.0,Other,-,1.0,28.5,28.5,$0.00,$0.00,$0.00,$3.82,$0.00,$0.00,$3.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.68,28.5,0,0,0
275,Heinz All Natural Distilled White Vinegar with 5% Acidity (32 fl oz Bottle),196171285458.0,Other,-,1.0,7.64,7.64,$0.00,$0.00,$0.00,$8.65,$0.00,$0.00,$1.24,$0.69,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.72,-1.01,7.64,1,0,0
276,"Heinz Apple Cider Vinegar, 16 oz",196171285816.0,Other,-,1.0,5.06,5.06,$0.00,$0.00,$0.00,$0.92,$0.00,$0.00,$0.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4.14,5.06,0,0,0
277,"""Chondroitin Sulfate 600 mg, 120 Caps - Piping Rock, Non-GMO, Gluten Free""",196174486611.0,Other,-,1.0,36.94,34.52,$0.00,$2.42,$0.00,$8.18,$0.00,$0.00,$4.86,$3.32,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.34,36.94,1,0,0
278,"George's Aloe Vera Supplement Softgel, 64 Fl Oz, 100% Active Aloe Liquid",196174489542.0,Other,-,1.0,33.16,31.88,$0.00,$1.28,$0.00,$7.38,$0.00,$0.00,$4.40,$2.98,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.5,33.16,1,0,0
279,"Nutricost Vitamin B2 (Riboflavin) 400mg, 120 Capsules - Gluten Free, Non-GMO",196174489740.0,Other,-,1.0,25.34,25.34,$0.00,$0.00,$0.00,$3.43,$0.00,$0.00,$3.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.91,25.34,0,0,0
280,"Nature's Way Echinacea Purpurea, Immune Support,1200mg,180 Caps",196174497371.0,Other,-,1.0,24.58,24.34,$0.00,$0.24,$0.00,$3.34,$0.00,$0.00,$3.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.0,24.58,0,0,0
281,"Nature's Bounty Vitamin C, Immune Support, Tablets, 500mg, 250 Ct",196174506808.0,Other,-,1.0,20.12,19.53,$0.00,$0.59,$0.00,$4.59,$0.00,$0.00,$2.78,$1.81,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.94,20.12,1,0,0
282,Niacinamide (8oz) Flush-Free B3 Powder - Pure & Original,196174507584.0,Other,-,1.0,22.02,22.02,$0.00,$0.00,$0.00,$3.02,$0.00,$0.00,$3.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,19.0,22.02,0,0,0
283,Thorne Liver Cleanse - Detox & Liver Support - 60 Caps,196174510254.0,Other,-,1.0,37.3,34.54,$0.00,$2.76,$0.00,$8.27,$0.00,$0.00,$4.91,$3.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.27,37.3,1,0,0
284,Item ID 196174520697,196174520697.0,Other,-,1.0,14.05,14.05,$0.00,$0.00,$0.00,$2.04,$0.00,$0.00,$2.04,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.01,14.05,0,0,0
285,"T.N. Dickinson's Witch Hazel Astringent for Face and Body, 100% Natural, 6 Count",196174520723.0,Other,-,1.0,40.58,37.49,$0.00,$3.09,$0.00,$8.96,$0.00,$0.00,$5.31,$3.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,28.53,40.58,1,0,0
286,"Lâil Critters CoComelon Daily Gummy Multivitamin for Kids, 190 gummies",196174522765.0,Other,-,1.0,21.15,21.15,$0.00,$0.00,$0.00,$2.91,$0.00,$0.00,$2.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.24,21.15,0,0,0
287,"Puritan's Pride Odorless Garlic 1000 Mg, 100 Total Count",196174526385.0,Other,-,1.0,9.22,9.22,$0.00,$0.00,$0.00,$1.44,$0.00,$0.00,$1.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.78,9.22,0,0,0
288,"Milk Thistle Extract | 3000mg | 300 Capsules | Non-GMO, Gluten Free by Horbaach",196174528983.0,Other,-,1.0,26.68,26.68,$0.00,$0.00,$0.00,$3.59,$0.00,$0.00,$3.59,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23.09,26.68,0,0,0
289,"Traditional Medicinals Organic Smooth Move Chamomile Tea, 16 Tea Bags",196174533682.0,Other,-,1.0,19.16,19.16,$0.00,$0.00,$0.00,$4.39,$0.00,$0.00,$2.67,$1.72,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.77,19.16,1,0,0
290,"Chamomile Flower 1100mg | 200 Capsules | Non-GMO, Gluten Free | Horbaach",196174535306.0,Other,-,1.0,23.34,21.17,$0.00,$2.17,$0.00,$5.28,$0.00,$0.00,$3.18,$2.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.89,23.34,1,0,0
291,Garden of Life - RAW Probiotics Women - 90 Vegetarian Capsules,196174565802.0,Other,-,1.0,81.61,81.61,$0.00,$0.00,$0.00,$17.82,$0.00,$0.00,$10.48,$7.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,63.79,81.61,1,0,0
292,"Starbucks Pike Place Decaffeinated Coffee Single-Serve K-Cup, 24 Count",196182684118.0,Other,-,1.0,36.03,36.03,$0.00,$0.00,$0.00,$4.75,$0.00,$0.00,$4.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,31.28,36.03,0,0,0
293,"Nestle Nido 3+ Toddler Powdered Milk Beverage, 1.76 Pound",196183726784.0,Other,-,1.0,24.01,22.1,$0.00,$1.91,$0.00,$11.96,$0.00,$0.00,$3.37,$2.28,$0.00,$0.00,$0.08,$0.00,$0.00,$0.00,$0.00,$6.23,10.14,24.01,1,0,0
294,Dinty Moore Beef Stew 15 Oz (8 Pack),196183731643.0,Other,-,1.0,29.8,27.31,$0.00,$2.49,$0.00,$6.91,$0.00,$0.00,$4.08,$2.83,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20.4,29.8,1,0,0
295,"Progresso Italian Wedding Soup, Traditional Canned, 18.5 oz (Pack of 12)",196183731986.0,Other,-,1.0,36.93,36.93,$0.00,$0.00,$0.00,$8.37,$0.00,$0.00,$4.86,$3.51,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,28.56,36.93,1,0,0
296,Tong Yeng Roasted eel 3.5 Oz/100g (Pack of 3),196183741536.0,Other,-,1.0,22.0,22.0,$0.00,$0.00,$0.00,$5.11,$0.00,$0.00,$3.02,$2.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.89,22.0,1,0,0
297,"Fruit Roll-Ups, Fruit by the Foot, Gushers, Snacks Variety Pack, 16 ct",196183748117.0,Other,-,1.0,13.75,13.75,$0.00,$0.00,$0.00,$3.31,$0.00,$0.00,$2.00,$1.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.44,13.75,1,0,0
298,"Dr. Oetker Whipped Cream Stabilizer, 0.35 Ounce (Pack of 2)",196183754457.0,Other,-,1.0,9.17,9.17,$0.00,$0.00,$0.00,$2.30,$0.00,$0.00,$1.43,$0.87,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6.87,9.17,1,0,0
299,A Gift Inside All the Best Fruit Basket,196183762225.0,Other,-,1.0,60.52,55.91,$0.00,$4.61,$0.00,$13.52,$0.00,$0.00,$7.77,$5.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.39,60.52,1,0,0
300,Pure Organic Layered Fruit Bars Variety Pack 28 count (Pack of 1).,196183770703.0,Other,-,1.0,24.64,24.64,$0.00,$0.00,$0.00,$5.66,$0.00,$0.00,$3.44,$2.22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.98,24.64,1,0,0
301,"Bob's Red Mill European Style Museli Cereal, 14oz - Hot or Cold, 1 Pack (Origina",196183779224.0,Other,-,1.0,18.7,18.51,$0.00,$0.19,$0.00,$4.39,$0.00,$0.00,$2.61,$1.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.12,18.7,1,0,0
302,"Bob's Red Mill Gluten Free Muesli Cereal, 16-ounce (Pack of 4)",196183779265.0,Other,-,1.0,36.35,36.35,$0.00,$0.00,$0.00,$8.24,$0.00,$0.00,$4.79,$3.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,28.11,36.35,1,0,0
303,"Lucky Charms Breakfast Cereal Treat Bars, Snack Bars, Value Pack, 16 ct",196183780647.0,Other,-,1.0,13.15,13.15,$0.00,$0.00,$0.00,$3.17,$0.00,$0.00,$1.92,$1.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9.98,13.15,1,0,0
304,"Golden Grahams Lucky Charms Breakfast Cereal Treat Bars Variety Pack, 28 ct",196183781140.0,Other,-,1.0,20.85,20.85,$0.00,$0.00,$0.00,$2.97,$0.00,$0.00,$2.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.88,20.85,0,0,0
305,"Quaker Instant Grits, 4 Flavor Variety Pack, 0.98oz Packets,44 Count (Pack of 1)",196183783051.0,Other,-,1.0,19.9,19.9,$0.00,$0.00,$0.00,$4.65,$0.00,$0.00,$2.76,$1.89,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.25,19.9,1,0,0
306,Quaker Steel Cut Oats 30 Oz,196183784600.0,Other,-,1.0,31.3,29.67,$0.00,$1.63,$0.00,$12.54,$0.00,$0.00,$4.27,$2.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.45,17.13,31.3,1,0,0
307,"Mrs. Butterworth's Complete Buttermilk Pancake and Waffle Mix, 32 oz",196183789268.0,Other,-,1.0,7.19,7.19,$0.00,$0.00,$0.00,$1.87,$0.00,$0.00,$1.19,$0.68,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5.32,7.19,1,0,0
308,"Reynolds Wrap Heavy Duty Aluminum Foil, 130 Square Feet",196183820065.0,Other,-,1.0,22.2,20.32,$0.00,$1.88,$0.00,$5.15,$0.00,$0.00,$3.04,$2.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.17,22.2,1,0,0
309,ONE ORGANIC Sushi Nori Premium Roasted Organic Seaweed (50 Full Sheets),196183825669.0,Other,-,1.0,23.65,23.65,$0.00,$0.00,$0.00,$5.86,$0.00,$0.00,$3.22,$2.25,$0.00,$0.00,$0.00,$0.39,$0.00,$0.00,$0.00,$0.00,17.79,23.65,1,0,0
310,Badia Sazon Caliente 5.75 oz Pack of 3,196183826253.0,Other,-,1.0,24.68,23.73,$0.00,$0.95,$0.00,$5.69,$0.00,$0.00,$3.35,$2.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.04,24.68,1,0,0
311,"365 by Whole Foods Market, Organic Tomato Basil Pasta Sauce, 25 Ounce",196183828048.0,Other,-,1.0,10.58,10.45,$0.00,$0.13,$0.00,$2.47,$0.00,$0.00,$1.46,$1.01,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.98,10.58,1,0,0
312,"Breton Multigrain Crackers, 7.3 Ounce (Pack of 3)",196183831168.0,Other,-,1.0,20.2,20.2,$0.00,$0.00,$0.00,$4.71,$0.00,$0.00,$2.79,$1.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.49,20.2,1,0,0
313,"Pacific Foods Organic Harvest Black Bean Chili, Plant Based, 16.5 oz Can",196183835035.0,Other,-,1.0,7.53,7.53,$0.00,$0.00,$0.00,$1.23,$0.00,$0.00,$1.23,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6.3,7.53,0,0,0
314,"365 by Whole Foods Market, Organic Italian Herb Pasta Sauce, 25 Ounce",196183836385.0,Other,-,1.0,10.58,10.45,$0.00,$0.13,$0.00,$2.41,$0.00,$0.00,$1.46,$0.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8.04,10.58,1,0,0
315,"Body Fortress Whey Protein Powder, Chocolate, 1.78 lb (Packaging May Vary)",196186108078.0,Other,-,1.0,31.87,31.87,$0.00,$0.00,$0.00,$4.34,$0.00,$0.00,$4.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.53,31.87,0,0,0
316,"Isopure Protein Powder,, Strawberries & Cream, 1 lb Package Varies",196186146986.0,Other,-,1.0,42.2,42.2,$0.00,$0.00,$0.00,$9.41,$0.00,$0.00,$5.61,$3.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,32.79,42.2,1,0,0
317,"Cascade Power Dry Dishwasher Rinse Aid, 16 fl oz",196186469038.0,Other,-,1.0,13.91,13.35,$0.00,$0.56,$0.00,$3.27,$0.00,$0.00,$2.02,$1.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.08,13.91,1,0,0
318,"Active Element Commercial Dishwasher Rinse, 5-gal. Pail, Commercial-Grade",196186469140.0,Other,-,1.0,66.04,61.72,$0.00,$4.32,$0.00,$14.50,$0.00,$0.00,$8.56,$5.94,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,47.22,66.04,1,0,0
319,"Dirt Devil Scorpion Quick Flip Handheld Vacuum, Lightweight, Red (Model SD20005R",196186470133.0,Other,-,1.0,37.56,34.3,$0.00,$3.26,$0.00,$8.32,$0.00,$0.00,$4.94,$3.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,25.98,37.56,1,0,0
320,"Conair 3-in-1 Styling Hair Dryer, 1875W with Ionic Tech + 3 Attachments",196186471731.0,Other,-,1.0,40.3,37.66,$0.00,$2.64,$0.00,$5.28,$0.00,$0.00,$5.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,32.38,40.3,0,0,0
321,Presto 07046 Tilt 'n Drain Big Griddle Cool-Touch Electric Griddle,196186482824.0,Other,-,1.0,81.51,74.99,$0.00,$6.52,$0.00,$17.71,$0.00,$0.00,$10.37,$7.34,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,57.28,81.51,1,0,0
322,Domino Sugar,196186718192.0,Other,-,1.0,13.97,13.97,$0.00,$0.00,$0.00,$2.03,$0.00,$0.00,$2.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11.94,13.97,0,0,0
323,"Sunkist Orange Soda, 12 Fl Oz (Pack of 12)",196186720672.0,Other,-,1.0,13.57,12.62,$0.00,$0.95,$0.00,$3.20,$0.00,$0.00,$1.98,$1.22,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9.42,13.57,1,0,0
324,"Dr Pepper Strawberries and Cream Soda, 12 fl oz cans, 12 Pack",196186720915.0,Other,-,1.0,16.02,14.73,$0.00,$1.29,$0.00,$3.82,$0.00,$0.00,$2.38,$1.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,10.91,16.02,1,0,0
325,"Pop-Tarts Variety Pack: Breakfast & Kids Snacks (5 Boxes, 60 Pastries)",196186732610.0,Other,-,1.0,23.31,23.31,$0.00,$0.00,$0.00,$5.28,$0.00,$0.00,$3.18,$2.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.03,23.31,1,0,0
326,"Squirrel Brand Sweet Brown Butter Cashews, 3.5 Ounces, Gluten Free, Vegetarian",196187686318.0,Other,-,1.0,6.63,6.63,$0.00,$0.00,$0.00,$1.72,$0.00,$0.00,$1.12,$0.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4.91,6.63,1,0,0
327,"Mrs. Meyer's All-Purpose Cleaner Spray, Lemon Verbena, 16 fl. oz",196187690905.0,Other,-,1.0,9.53,8.76,$0.00,$0.77,$0.00,$2.34,$0.00,$0.00,$1.48,$0.86,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6.42,9.53,1,0,0
328,"Original Blue Band Margarine, Big Size of 500 gram, From Kenya",196187853595.0,Other,-,1.0,35.56,34.52,$0.00,$1.04,$0.00,$7.89,$0.00,$0.00,$4.69,$3.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.63,35.56,1,0,0
